FID	IID	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10
cUID_unk_4167_marmot4167_sorted	cUID_unk_4167_marmot4167_sorted	0.01070366	-0.004293825	0.07861457	-0.08291249	-0.1002529	-0.0215037	0.2442965	-0.03047123	-0.008161929	-0.02965926
RMBL_marmot_05-06_sorted	RMBL_marmot_05-06_sorted	-0.08199726	-0.008673588	-0.08400339	-0.004339273	0.01571524	-0.01440714	0.01850906	0.08728128	0.1487253	0.05257651
RMBL_marmot_no_label_MS125_May2024_sorted	RMBL_marmot_no_label_MS125_May2024_sorted	-0.08199219	-0.008798392	-0.08393143	-0.004432713	0.01549502	-0.01435962	0.01842575	0.08724665	0.1486463	0.05263714
UID_10009_10025_sorted	UID_10009_10025_sorted	0.1076484	-0.1106821	-0.01463885	0.07338292	0.01987854	-0.06768886	-0.01952549	-0.01601409	-0.074532	-0.02560333
UID_10010_10019_sorted	UID_10010_10019_sorted	-0.09056512	-0.02527372	-0.05190326	-0.006735054	-0.024064	-0.006670364	-0.04373242	-0.1429036	0.0243657	-0.1125919
UID_10021_10134_sorted	UID_10021_10134_sorted	-0.0056149	0.02324982	-0.03741982	0.01851897	-0.02994558	-0.009539483	0.02131595	-0.03044004	0.01750211	-0.01835908
UID_10041_9876_sorted	UID_10041_9876_sorted	-0.05005466	-0.01123359	0.03571919	-0.04017179	-0.0288732	-0.1255784	-0.02164039	-0.03048262	0.02424138	0.1208141
UID_10048_10061_sorted	UID_10048_10061_sorted	-0.07041233	-0.04424712	0.0001194183	-0.009465367	-0.04826777	-0.04130881	-0.0822645	-0.0470081	-0.1484566	-0.01041234
UID_10052_10034_sorted	UID_10052_10034_sorted	-0.06592031	-0.01272364	0.02519102	-0.03554189	-0.01852547	0.006565043	-0.08472948	-0.08882089	-0.1073264	-0.03130858
UID_10054_10194_sorted	UID_10054_10194_sorted	0.1090594	-0.0866663	0.02801856	0.1054273	0.0154249	-0.034385	0.01222181	-0.0006008203	-0.04682347	-0.07793219
UID_10056_10055_sorted	UID_10056_10055_sorted	-0.06162848	-0.03623786	-0.09733032	0.05892298	0.07421172	-0.02691128	-0.04535404	0.1143216	0.03541055	-0.09006966
UID_10067_10185_sorted	UID_10067_10185_sorted	-0.006144134	0.04802702	-0.01533775	0.009532642	0.1796893	-0.1002994	-0.007374782	-0.1146136	0.01882573	0.07174772
UID_10070_10071_sorted	UID_10070_10071_sorted	-0.0875677	-0.02654071	-0.1260935	-0.03757748	0.009105397	0.08996083	-0.01511506	0.004339858	-0.08296608	0.02080979
UID_10073_10028_sorted	UID_10073_10028_sorted	0.07619623	0.03648443	-0.02704394	-0.1031152	0.0682681	-0.06908511	0.0005256388	0.02385849	-0.01148316	-0.04841
UID_10083_10001_sorted	UID_10083_10001_sorted	-0.05050224	0.004381144	0.1537121	-0.03169261	0.01219083	0.1741294	-0.1299232	-0.01591952	0.02902144	0.07315335
UID_10089_10098_sorted	UID_10089_10098_sorted	0.06410165	0.001353872	-0.00989883	0.01079783	0.2084476	-0.04883991	-0.04652984	0.009171141	0.0380804	-0.0092511
UID_10095_10094_sorted	UID_10095_10094_sorted	0.08511065	-0.03934901	-0.04214431	0.05457741	0.01816002	0.02863693	-0.02312512	-0.01261518	-0.05426556	-0.008576021
UID_10100_10005_sorted	UID_10100_10005_sorted	0.0203848	0.1263493	-0.02941588	0.08048197	-0.08175154	0.01108846	-0.02911753	-0.05697769	-0.005286356	0.005275409
UID_10106_4466_sorted	UID_10106_4466_sorted	0.03647896	0.1200167	-0.01109347	0.07805579	-0.01121691	-0.0005911741	-0.01341678	-0.05067061	-0.001750337	0.006155152
UID_10112_6205_sorted	UID_10112_6205_sorted	-0.05853699	0.005441422	-0.1028418	-0.0130423	0.08001649	0.08106658	-0.006514172	0.2090515	-0.01498207	0.05936098
UID_10145_10372_sorted	UID_10145_10372_sorted	-0.06246286	-0.05669302	0.01104261	-0.02587926	-0.04078773	-0.1295134	-0.08565966	-0.03127083	0.0757817	-0.06789369
UID_10146_10130_sorted	UID_10146_10130_sorted	0.06565929	0.03138728	-0.0148414	-0.0852258	0.04324237	-0.02627432	0.03619268	0.05979599	0.001027697	-0.03189371
UID_10147_10132_sorted	UID_10147_10132_sorted	0.1224914	-0.1197133	-0.004833022	0.06847165	0.03729139	-0.02086383	-0.0452876	-0.005103633	-0.01695162	-0.05074791
UID_10148_9348_sorted	UID_10148_9348_sorted	-0.04170762	-0.02193986	0.02518755	-0.01011106	-0.01665055	-0.04306989	-0.0003783922	0.0181506	-0.010026	0.1610823
UID_10150_9248_sorted	UID_10150_9248_sorted	-0.0005312762	0.05392442	0.07301833	-0.02006935	0.2085855	-0.06698996	-0.007885086	-0.1025415	-0.01043939	0.06931537
UID_10155_10111_sorted	UID_10155_10111_sorted	0.01588083	0.05936074	0.02831801	0.04188431	0.1905176	-0.09624656	-0.02141544	-0.05232445	0.02140423	0.02893514
UID_10159_10161_sorted	UID_10159_10161_sorted	0.1344108	-0.09861434	-0.06108354	-0.03032481	-0.1072988	0.05078131	0.01883819	-0.01539543	0.05435863	0.01118074
UID_10165_10102_sorted	UID_10165_10102_sorted	0.05388363	0.06652903	-0.0489955	-0.1357063	-0.003046357	-0.05362212	0.002830632	0.0389621	-0.01782599	0.05667905
UID_10166_10168_sorted	UID_10166_10168_sorted	0.05821722	-0.06157619	-0.0037769	0.08095847	0.006812958	-0.01754824	-0.04083891	0.02916939	-0.04380187	0.02502064
UID_10172_10167_sorted	UID_10172_10167_sorted	0.1148445	-0.08759882	-0.05568586	-0.03935107	-0.08936978	-0.01167356	-0.05956362	0.02094525	0.05878586	0.006082065
UID_10175_10121_sorted	UID_10175_10121_sorted	0.1500805	-0.09930432	-0.001853069	0.08707987	-0.01552172	0.05277864	0.0269958	-0.02416276	0.002143937	0.05578063
UID_10176_10035_sorted	UID_10176_10035_sorted	-0.07872022	-0.05956127	0.03683605	-0.002507168	0.0245872	-0.06989797	0.0003470856	0.07596229	-0.08414303	-0.02172038
UID_10181_10436_sorted	UID_10181_10436_sorted	-0.07361017	-0.002658523	0.06067664	0.02573562	-0.02200457	-0.09454877	0.05914865	0.05316464	-0.1374768	0.03238533
UID_10187_9267_sorted	UID_10187_9267_sorted	-0.005503593	-0.03480165	-0.01960611	0.01991725	0.004992071	-0.01934558	-0.08841156	-0.03075215	-0.09364742	-0.06945543
UID_10189_10179_sorted	UID_10189_10179_sorted	-0.04794132	-0.0634683	0.0518558	0.141172	0.02399298	-0.03471168	0.0407022	0.06408306	0.03120642	-0.07360044
UID_10200_10928_sorted	UID_10200_10928_sorted	0.03222435	0.1696611	-0.02967142	0.09154311	-0.02106805	0.05354855	-0.01227671	-0.02555171	0.01612654	-0.001618258
UID_10212_10207_sorted	UID_10212_10207_sorted	-0.03968279	0.00883972	0.03841632	0.002646257	-0.03601912	-0.02791523	-0.1389062	-0.07681823	-0.02128158	0.01482076
UID_10215_9310_sorted	UID_10215_9310_sorted	0.053959	-0.05777144	0.0181748	0.05561016	-0.001942658	0.03738237	-0.01431132	0.01538877	0.01651225	-0.0389124
UID_10218_10220_sorted	UID_10218_10220_sorted	0.02761314	0.1457915	-0.04893576	0.05272218	-0.04165098	0.02006056	-0.01049455	-0.03738562	0.02443035	-0.006182046
UID_10221_10219_sorted	UID_10221_10219_sorted	-0.06574612	-0.0422591	0.01040601	0.03350597	-0.05312736	-0.06054681	-0.07065214	-0.07583066	-0.06539188	-0.01664486
UID_10222_10214_sorted	UID_10222_10214_sorted	-0.02304181	0.06052083	-0.02299321	0.05990326	0.06688221	0.06227241	-0.009571787	0.1236691	-0.04804222	-0.02092162
UID_10225_10242_sorted	UID_10225_10242_sorted	-0.05591227	-0.0416652	-0.0311635	-0.05886545	-0.06254098	-0.0761031	-0.02612193	-0.1303074	0.1339331	-0.1088454
UID_10235_10085_sorted	UID_10235_10085_sorted	0.04662376	0.06600709	-0.03031854	0.03557756	-0.04306417	-0.003596988	0.02891414	-0.01949918	0.04145224	0.007017221
UID_10243_10245_sorted	UID_10243_10245_sorted	-0.05781777	-0.03846079	-0.006577745	-0.03560568	-0.06592358	-0.04948496	-0.09430754	-0.07893169	0.09949447	-0.03064125
UID_10248_10247_sorted	UID_10248_10247_sorted	-0.0164757	0.004712623	0.1848203	-0.01418094	0.06280811	0.2213966	-0.0536225	0.007129709	0.03792774	0.06861933
UID_10249_10250_sorted	UID_10249_10250_sorted	0.04202869	0.01394293	-0.008389739	0.01698284	0.05315059	0.002435936	-0.02210223	-0.02202836	0.001117709	0.03372087
UID_10252_10295_sorted	UID_10252_10295_sorted	-0.07342073	-0.04333413	0.04013772	0.07630987	0.01804199	0.04457353	0.02907352	0.09397697	0.02608629	-0.0715528
UID_10254_10256_sorted	UID_10254_10256_sorted	0.06154545	0.04536289	-0.04979596	-0.119787	-0.01606479	-0.02134163	-0.05518001	0.05932988	0.005149315	-0.0827884
UID_10260_10255_sorted	UID_10260_10255_sorted	0.06252009	0.02006565	-0.03332868	-0.06110654	0.01762154	0.004270334	-0.06007153	0.03125357	0.009419542	0.03345161
UID_10261_10262_sorted	UID_10261_10262_sorted	0.06462985	0.04772902	-0.04648636	-0.1373423	-0.02811386	0.005363395	-0.02533526	0.123957	0.03062424	0.007202814
UID_10266_10265_sorted	UID_10266_10265_sorted	0.01299958	0.1558522	-0.009123476	0.07375909	-0.04654068	-0.04012856	-0.04919244	0.03992398	-0.007365143	-0.06204063
UID_10276_10092_sorted	UID_10276_10092_sorted	-0.08012719	-0.04365991	-0.05515005	-0.06899735	-0.05144272	-0.04829891	-0.03659364	-0.1484429	0.04831008	-0.1436864
UID_10279_10282_sorted	UID_10279_10282_sorted	0.05546667	0.004486804	-0.01493887	0.02918921	0.1096842	-0.108669	-0.06063463	-0.02385832	0.04679493	0.03719537
UID_10287_10267_sorted	UID_10287_10267_sorted	0.1234348	-0.1428757	0.005516191	0.1042603	-0.005837002	0.002253	0.008087351	-0.02505834	0.02003885	0.01332251
UID_10292_10398_sorted	UID_10292_10398_sorted	0.137125	-0.1069726	0.01843622	0.08337385	-0.05847957	0.01176706	0.04320215	-0.05447075	0.004556706	0.05185514
UID_10293_10289_sorted	UID_10293_10289_sorted	0.0009459915	0.01419709	0.08479061	-0.02608547	0.0260412	0.1824309	-0.05527297	0.01573086	-0.01747615	0.0430842
UID_10300_10286_sorted	UID_10300_10286_sorted	0.03639916	-0.03981276	0.006911205	0.02232698	-0.005531868	0.01233422	-0.005071753	-0.03002466	0.01324881	-0.007297718
UID_10304_10333_sorted	UID_10304_10333_sorted	-0.02812214	0.01307536	-0.1015757	0.008242655	0.06268704	0.03592506	0.1140673	-0.08090956	0.01941933	0.02240297
UID_10318_9454_sorted	UID_10318_9454_sorted	-0.08166245	-0.03149434	0.0350624	-0.02500227	0.01681974	0.1273888	-0.07439236	-0.08035675	-0.02847923	0.04299622
UID_10327_10348_sorted	UID_10327_10348_sorted	-0.04157998	-0.01964561	0.03267538	0.02983007	-0.02366156	-0.0685048	0.03407691	0.006743009	-0.07055185	0.06449242
UID_10332_10412_sorted	UID_10332_10412_sorted	-0.09103539	-0.05182807	0.04782673	-0.01618245	0.04876284	0.1680479	-0.09746765	-0.09776876	-0.09773608	-0.04702964
UID_10337_10361_sorted	UID_10337_10361_sorted	0.0489766	0.1401666	-0.05057533	0.03753757	-0.09614136	0.009760659	0.05677534	-0.07349786	0.04954764	0.1765269
UID_10339_10402_sorted	UID_10339_10402_sorted	-0.04914163	0.01744554	-0.07943971	-0.07551752	0.1051675	0.07473309	0.08535491	-0.08284667	-0.006595236	0.03378028
UID_10341_10403_sorted	UID_10341_10403_sorted	-0.07081003	-0.03066588	0.03189888	0.005593764	0.01209158	0.1722304	-0.1056146	-0.1432083	-0.09627298	0.04732739
UID_10343_10345_sorted	UID_10343_10345_sorted	-0.05257831	-0.03623178	-0.002251821	-0.02075038	-0.0208476	-0.1471919	-0.02664006	0.03017963	-0.07030727	0.1535283
UID_10354_10305_sorted	UID_10354_10305_sorted	-0.02918011	0.01285419	-0.08715153	-0.05981138	0.09565979	0.0748781	0.1400966	-0.1274017	-0.05062415	-0.02010941
UID_10357_10359_sorted	UID_10357_10359_sorted	-0.05707578	-0.0266781	0.002468384	-0.01918837	-0.0097714	-0.06673459	-0.09086822	-0.04266438	0.02425441	-0.07110912
UID_10363_10311_sorted	UID_10363_10311_sorted	0.04651051	0.1620177	-0.05240536	0.01897632	-0.05821959	-0.02965198	0.0390898	-0.02163504	0.01547756	0.1651973
UID_10369_10008_sorted	UID_10369_10008_sorted	0.1270776	-0.1059139	0.03637269	0.08260983	-0.01568532	0.02016117	0.02845073	-0.02019746	-0.007086346	0.04172243
UID_10371_10389_sorted	UID_10371_10389_sorted	0.1183162	-0.1129787	-0.01117756	0.08447251	-0.08362504	0.06825627	0.06619991	-0.07447473	0.01670167	0.03153331
UID_10382_10273_sorted	UID_10382_10273_sorted	-0.06521568	0.01725277	0.02586816	-0.04794711	-0.04425977	-0.05852066	-0.01786412	0.05020815	-0.1301323	0.1457964
UID_10386_10383_sorted	UID_10386_10383_sorted	-0.1015385	-0.08615614	-0.1286722	-0.0562099	-0.001686587	0.04697367	-0.005036828	-0.09359525	-0.04689505	0.03072847
UID_10388_10375_sorted	UID_10388_10375_sorted	0.1276419	-0.1065568	-0.00747732	0.1035098	-0.09880139	0.008262181	0.0997161	-0.01584552	0.005802899	0.01979651
UID_10407_10302_sorted	UID_10407_10302_sorted	-0.03435879	-0.01593785	0.03177581	-0.007774548	-0.01737832	-0.04560254	0.05471371	0.02225707	-0.09798084	0.06650551
UID_10409_10353_sorted	UID_10409_10353_sorted	0.0311855	0.1845873	-0.0731064	0.04350361	-0.06407382	-0.009699851	0.03903629	-0.02634846	0.01412719	0.1777218
UID_10416_10422_sorted	UID_10416_10422_sorted	-0.05774263	-0.01746052	0.05854268	0.001315288	-0.04819361	-0.04839542	-0.008288035	0.06624602	0.002817973	0.182054
UID_10418_10051_sorted	UID_10418_10051_sorted	-0.05562918	-0.04655585	0.06017963	0.02748193	-0.08706536	-0.09088065	-0.02731949	0.04408108	-0.01727185	0.1140994
UID_10421_4461_sorted	UID_10421_4461_sorted	-0.08539344	-0.01210374	0.023818	-0.002164374	-0.03202286	-0.01324494	0.01066272	0.0614659	-0.05562967	0.1441178
UID_10437_10428_sorted	UID_10437_10428_sorted	-0.04582347	-0.01280444	-0.07450339	-0.05770991	0.05877301	0.03991612	0.131205	-0.07162581	0.05445193	-0.042122
UID_19_46_sorted	UID_19_46_sorted	-0.01464738	-0.02675013	0.06403692	-0.1209332	-0.02153325	0.01976571	0.2301009	-0.05101105	-0.07689262	-0.1172393
UID_2686_2690_sorted	UID_2686_2690_sorted	-0.004526073	-0.001310308	0.1306009	-0.02633951	0.002190313	0.03254191	0.02347604	-0.03183849	-0.01581078	0.0004772419
UID_2793_2821_sorted	UID_2793_2821_sorted	-0.0123718	0.01579526	0.1235161	-0.04361932	0.01434205	-0.01225304	0.1008139	0.02003011	-0.03874448	-0.02794754
UID_2805_2809_sorted	UID_2805_2809_sorted	0.02632246	0.02862949	0.1334345	0.00755643	0.04869096	-0.007051796	0.1168094	0.0007123663	-0.01709217	-0.01933259
UID_2822_2876_sorted	UID_2822_2876_sorted	0.01157479	0.02705892	0.06430797	-0.06851975	-0.03419345	-0.02021776	0.1287513	0.05120783	-0.04017815	-0.151552
UID_3166_3174_sorted	UID_3166_3174_sorted	0.009110339	-0.00673519	0.07541354	-0.08472384	-0.100144	-0.01781117	0.250276	-0.03068486	-0.004804185	-0.0368779
