FID	IID	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10
cUID_unk_4167_marmot4167_sorted	cUID_unk_4167_marmot4167_sorted	0.001661646	0.02133507	0.09634586	0.02157051	-0.007811484	0.03763082	-0.2341562	-0.00292726	-0.03231463	0.1158819
RMBL_marmot_05-06_sorted	RMBL_marmot_05-06_sorted	-0.1058209	-0.003706172	-0.07136451	-0.03188679	0.004640951	0.05928909	-0.0001469222	-0.0001951362	0.01868565	-0.01890749
RMBL_marmot_no_label_MS125_May2024_sorted	RMBL_marmot_no_label_MS125_May2024_sorted	-0.1029732	-0.003649266	-0.07010412	-0.03130279	0.004689983	0.05799949	-0.0003638941	-0.001276551	0.01784876	-0.01931381
UID_10009_10025_sorted	UID_10009_10025_sorted	0.06553808	-0.1511389	-0.03947935	0.1078239	0.004940118	-0.01030892	-0.0213854	0.0150279	0.01095638	-0.03788546
UID_10010_10019_sorted	UID_10010_10019_sorted	-0.06363532	0.008213373	0.001335289	-0.00673964	-0.01511702	0.06718544	0.01300636	-0.04258523	0.05261344	0.003148562
UID_10021_10134_sorted	UID_10021_10134_sorted	-0.00393867	0.04384504	-0.07485012	0.01000124	-0.005219299	0.01253708	-0.001546186	-0.02050632	-0.02581882	0.02541107
UID_10041_9876_sorted	UID_10041_9876_sorted	-0.07464916	0.01395642	0.01927137	0.004648035	0.02250102	-0.1907002	0.0137839	0.02756609	-0.01850344	0.0106993
UID_10048_10061_sorted	UID_10048_10061_sorted	-0.07483156	0.006420652	0.02103297	0.02418596	-0.00613207	-0.04243338	0.01249718	-0.05920279	0.01805631	-0.006247322
UID_10052_10034_sorted	UID_10052_10034_sorted	-0.0638809	0.005059192	0.01265222	0.01044772	-0.001742379	-0.04055804	-0.005469119	-0.04605842	0.007372559	0.01069907
UID_10054_10194_sorted	UID_10054_10194_sorted	0.06747694	-0.1427213	-0.03674539	0.09935122	0.004567778	-0.01496108	-0.01985362	0.02630156	0.01446685	-0.0282907
UID_10056_10055_sorted	UID_10056_10055_sorted	-0.08102462	-0.009213685	-0.06921822	-0.03070121	0.01319911	0.03896519	-0.002098098	0.02037765	0.0169007	0.03975709
UID_10067_10185_sorted	UID_10067_10185_sorted	0.05806114	0.05142946	0.07805138	-0.0536194	0.2349755	0.03373906	0.04184584	0.02780132	0.06711811	-0.001852239
UID_10070_10071_sorted	UID_10070_10071_sorted	-0.1010871	-0.008162029	-0.08019358	-0.04274867	0.01372088	0.05766144	-0.01055334	0.036984	-0.008907525	0.009772064
UID_10073_10028_sorted	UID_10073_10028_sorted	0.07064376	0.003468658	0.03028628	-0.1853603	-0.08423795	-0.01838824	0.006395583	-0.01161514	-0.07894948	-0.1267391
UID_10083_10001_sorted	UID_10083_10001_sorted	-0.009662081	0.03010723	0.1553897	0.09306696	-0.1031697	0.05386883	0.169226	0.06499398	-0.06677247	0.0179396
UID_10089_10098_sorted	UID_10089_10098_sorted	0.07436297	-0.02019178	0.03557691	-0.03175826	0.2232309	0.03617461	0.07734407	-0.03281569	0.04543986	-0.02498479
UID_10095_10094_sorted	UID_10095_10094_sorted	0.054289	-0.07085305	-0.04718371	0.05179347	-0.007260934	-0.00466575	-0.01295976	-0.003854033	-0.007120461	-0.01049754
UID_10100_10005_sorted	UID_10100_10005_sorted	0.08704497	0.132156	-0.1020844	0.0486186	-0.01497793	-0.01525275	0.006060592	-0.05974748	-0.06533995	0.07368903
UID_10106_4466_sorted	UID_10106_4466_sorted	0.07137318	0.1014655	-0.08381121	0.04303989	-0.01314518	-0.01045827	0.01267352	-0.04573989	-0.0419457	0.07044749
UID_10112_6205_sorted	UID_10112_6205_sorted	-0.09695823	-0.00377461	-0.07955912	-0.05152912	0.01579678	0.05793641	-0.02397977	0.04258657	0.01048492	0.05915803
UID_10145_10372_sorted	UID_10145_10372_sorted	-0.06210016	0.009932313	0.01074686	0.002304936	0.003947185	-0.005793569	-0.03467494	-0.05723202	0.03052763	0.01666092
UID_10146_10130_sorted	UID_10146_10130_sorted	0.07197032	-0.01083794	0.03132715	-0.1775339	-0.08158311	-0.02129659	-0.00436528	-0.003072792	-0.07381584	-0.1469738
UID_10147_10132_sorted	UID_10147_10132_sorted	0.06303274	-0.1519706	-0.04465225	0.09087376	0.005161046	-0.01164184	-0.01361598	0.0141861	0.004203174	-0.01078691
UID_10148_9348_sorted	UID_10148_9348_sorted	-0.07034828	0.004802388	0.004506182	0.002416112	0.0285212	-0.1681132	0.01834439	0.02877874	-0.01184841	0.01173758
UID_10150_9248_sorted	UID_10150_9248_sorted	0.0491263	0.0412791	0.09097228	-0.05046843	0.1809894	0.03312564	-0.004047226	0.09555643	0.08887589	-0.002618926
UID_10155_10111_sorted	UID_10155_10111_sorted	0.06233256	0.05376918	0.07441988	-0.0519406	0.2495368	0.03979685	0.05360368	0.02949364	0.0708803	-0.006849578
UID_10159_10161_sorted	UID_10159_10161_sorted	0.06687193	-0.1312615	-0.02949997	-0.00682081	-0.03221089	-0.01469247	0.01381561	0.001293942	0.006366222	0.04211195
UID_10165_10102_sorted	UID_10165_10102_sorted	0.06675766	-0.0003233164	0.01652789	-0.1505471	-0.07064086	-0.02032799	0.002382551	-0.01365937	-0.06946439	-0.1010622
UID_10166_10168_sorted	UID_10166_10168_sorted	0.03214687	-0.07580831	-0.02724737	0.04586623	-0.0006232222	-0.005442211	-0.009538687	0.01930124	0.009814956	-0.01343278
UID_10172_10167_sorted	UID_10172_10167_sorted	0.06967093	-0.1210416	-0.03321882	-0.01401377	-0.04841399	-0.02452475	0.008756446	-0.005645584	0.02305576	0.031186
UID_10175_10121_sorted	UID_10175_10121_sorted	0.06013059	-0.1415348	-0.04447596	0.09375433	-0.003715417	-0.006672024	-0.0125473	0.01929072	0.002675831	-0.001389307
UID_10176_10035_sorted	UID_10176_10035_sorted	-0.06734367	0.009098794	0.01432483	0.003851784	0.02003414	-0.1788519	0.02768076	0.03629373	-0.0234163	-0.006566503
UID_10181_10436_sorted	UID_10181_10436_sorted	-0.07188286	0.01036172	0.01646224	0.005602203	0.0334019	-0.2087602	0.01674675	0.04773189	-0.03022047	0.004855864
UID_10187_9267_sorted	UID_10187_9267_sorted	-0.03301101	-0.02646918	-0.001702029	0.02675825	-0.00387307	-0.01965841	-0.0095069	-0.03341527	0.009166919	0.007145307
UID_10189_10179_sorted	UID_10189_10179_sorted	-0.06370044	0.001260765	0.03655766	0.0376622	-0.03642181	0.03672934	0.07082293	-0.1095941	0.04580497	-0.0219429
UID_10200_10928_sorted	UID_10200_10928_sorted	0.08791401	0.1384434	-0.1022602	0.05165032	-0.005044899	-0.01218627	0.005800396	-0.05749445	-0.07815289	0.05530649
UID_10212_10207_sorted	UID_10212_10207_sorted	-0.06229584	0.0074121	0.02585912	0.02228598	-0.008490993	-0.009381536	-0.005658641	-0.08228322	0.02243137	-0.01729201
UID_10215_9310_sorted	UID_10215_9310_sorted	0.01969094	-0.09033793	-0.02230256	0.06080783	-0.007314743	0.001952162	0.006603038	-0.01450964	0.01105783	0.0006604242
UID_10218_10220_sorted	UID_10218_10220_sorted	0.08214217	0.1246869	-0.0991027	0.04748215	0.005256524	-0.007901134	0.01381059	-0.06944126	-0.05359371	0.06397723
UID_10221_10219_sorted	UID_10221_10219_sorted	-0.07366213	0.006330899	0.02757746	0.02173079	-0.006762384	-0.04052557	-0.004891376	-0.07066125	0.0161972	0.005364769
UID_10222_10214_sorted	UID_10222_10214_sorted	-0.02835845	-0.01234867	-0.04097355	-0.03954672	0.006159148	0.04260392	-0.004997654	0.05201301	-0.008854659	0.1432571
UID_10225_10242_sorted	UID_10225_10242_sorted	-0.0481603	0.01145598	0.01176352	-0.007627459	-0.009658312	0.0519175	-0.002769606	-0.05810058	0.04316013	-0.001720755
UID_10235_10085_sorted	UID_10235_10085_sorted	0.07103427	0.05867725	-0.08811571	0.05644862	-0.01343357	-0.007837239	0.003864411	-0.04418267	-0.0450413	0.05159901
UID_10243_10245_sorted	UID_10243_10245_sorted	-0.05487681	0.007788282	0.01269651	0.003526717	0.0005818198	0.01586625	-0.02518457	-0.05790195	0.03106668	0.0004056416
UID_10248_10247_sorted	UID_10248_10247_sorted	0.005865797	0.0322178	0.1657387	0.0865665	-0.1078727	0.08817175	0.1982184	0.1623046	-0.08972365	0.08408688
UID_10249_10250_sorted	UID_10249_10250_sorted	0.06144716	0.01128743	-0.0008503491	-0.007131138	0.1417644	0.01848166	0.04314901	-0.02511949	0.02222977	-0.00274939
UID_10252_10295_sorted	UID_10252_10295_sorted	-0.06788321	-0.001464439	0.02447404	0.03062696	-0.02585517	0.02962215	0.06797445	-0.08987199	0.03858188	-0.01808961
UID_10254_10256_sorted	UID_10254_10256_sorted	0.08289249	-0.007011227	0.005700826	-0.1819002	-0.04133346	-0.02012879	0.04533592	-0.1080452	-0.06146253	0.05194383
UID_10260_10255_sorted	UID_10260_10255_sorted	0.04198725	-0.01725209	-0.005044712	-0.07769028	-0.01480706	-0.01085577	0.02350797	-0.06185363	-0.04310005	0.02927991
UID_10261_10262_sorted	UID_10261_10262_sorted	0.07362092	-0.004593915	-0.006816555	-0.1517221	-0.04437613	-0.0177705	0.04147057	-0.09049969	-0.05290105	0.03758251
UID_10266_10265_sorted	UID_10266_10265_sorted	0.086191	0.1286072	-0.08563445	0.03498843	-0.01958257	-0.01628911	0.004656486	-0.008941462	0.03806	0.004672462
UID_10276_10092_sorted	UID_10276_10092_sorted	-0.04913254	0.005989556	0.0121368	0.003632492	-0.0164887	0.04787263	0.001194687	-0.04923905	0.04081269	-0.009037715
UID_10279_10282_sorted	UID_10279_10282_sorted	0.07665258	-0.0149136	0.02651686	-0.0190069	0.2263972	0.03662356	0.070868	-0.02310845	0.04843277	-0.01305109
UID_10287_10267_sorted	UID_10287_10267_sorted	0.06089013	-0.1458775	-0.04756739	0.09008082	-0.004934511	-0.009414715	-0.007310413	0.000470188	-0.003225376	-0.00202252
UID_10292_10398_sorted	UID_10292_10398_sorted	0.06481376	-0.1614105	-0.05087228	0.1126087	0.01788894	-0.001911177	-0.0034829	0.008718771	-0.01614887	-0.001504583
UID_10293_10289_sorted	UID_10293_10289_sorted	0.01110091	0.01339611	0.1105418	0.07251833	-0.08762125	0.07635235	0.1461289	0.1479792	-0.07323061	0.07937672
UID_10300_10286_sorted	UID_10300_10286_sorted	0.008521126	-0.03392972	-0.01354088	0.02240054	0.001500846	-0.001622889	-0.002674141	-0.0032873	0.001015871	0.0004297974
UID_10304_10333_sorted	UID_10304_10333_sorted	-0.03367209	0.0188283	-0.039375	-0.04228853	0.01720342	0.05821691	-0.0382742	0.09822353	-0.1483591	-0.2419926
UID_10318_9454_sorted	UID_10318_9454_sorted	-0.04125389	0.00972942	0.02696572	0.02208769	-0.03687926	0.05501628	0.07427035	0.05578674	-0.0312842	0.03449279
UID_10327_10348_sorted	UID_10327_10348_sorted	-0.04625937	0.002029678	0.0003046932	0.004474428	0.01782268	-0.09951841	0.009363266	0.01904797	-0.01264295	0.00685987
UID_10332_10412_sorted	UID_10332_10412_sorted	-0.05139482	0.01173085	0.04213377	0.02847487	-0.05115544	0.08432913	0.1128307	0.08710498	-0.03501282	0.0633095
UID_10337_10361_sorted	UID_10337_10361_sorted	0.07911297	0.1190605	-0.1067768	0.0360422	0.001543436	-0.01141927	0.02451148	-0.07364916	-0.1337438	0.01032106
UID_10339_10402_sorted	UID_10339_10402_sorted	-0.03221561	0.01740283	-0.03500524	-0.04073227	0.01512474	0.05775314	-0.05021811	0.1024863	-0.1562889	-0.2248671
UID_10341_10403_sorted	UID_10341_10403_sorted	-0.05390122	0.01471954	0.04597332	0.02988889	-0.05658843	0.08371314	0.1091658	0.09876042	-0.04680598	0.05968983
UID_10343_10345_sorted	UID_10343_10345_sorted	-0.07575732	0.008674274	0.00313507	-0.003364461	0.0356744	-0.2094667	0.01617463	0.06858662	-0.02752322	0.01613547
UID_10354_10305_sorted	UID_10354_10305_sorted	-0.03241624	0.01398755	-0.03253419	-0.04047232	0.02106428	0.06331127	-0.05423869	0.1167458	-0.1632214	-0.2429239
UID_10357_10359_sorted	UID_10357_10359_sorted	-0.05532632	0.006568866	0.002507858	-0.005717206	0.003262969	0.009771394	-0.02156612	-0.04566437	0.02904462	0.01064838
UID_10363_10311_sorted	UID_10363_10311_sorted	0.07642409	0.1140905	-0.106069	0.04060289	-0.000801975	-0.007928556	0.02422495	-0.08566678	-0.154807	0.03185118
UID_10369_10008_sorted	UID_10369_10008_sorted	0.06682274	-0.1586541	-0.0494777	0.1004658	0.02631633	-0.002290917	-0.0005410114	-0.001204283	-0.02644728	-0.01715884
UID_10371_10389_sorted	UID_10371_10389_sorted	0.06335629	-0.1596182	-0.04921067	0.09706879	0.005699536	-0.002334805	-0.00592117	0.007602757	-0.02499553	0.008884511
UID_10382_10273_sorted	UID_10382_10273_sorted	-0.0762891	0.01186531	0.004989275	-0.007530204	0.03004886	-0.1878404	0.01311985	0.06340111	-0.02852034	0.009813936
UID_10386_10383_sorted	UID_10386_10383_sorted	-0.1071804	-0.00913701	-0.07925596	-0.03676654	0.01251685	0.0539305	-0.02592056	0.03130564	-0.0001942446	0.01462075
UID_10388_10375_sorted	UID_10388_10375_sorted	0.06321714	-0.1617506	-0.0520703	0.1089595	0.01677445	-0.002711777	-0.01089156	0.000804952	-0.01926352	-0.006372086
UID_10407_10302_sorted	UID_10407_10302_sorted	-0.05125691	0.003084002	0.002308704	0.002799794	0.01871412	-0.1172108	0.00645769	0.03632803	-0.02102459	0.001004307
UID_10409_10353_sorted	UID_10409_10353_sorted	0.0926127	0.1314115	-0.1161554	0.03295948	-0.001318963	-0.00879158	0.02652826	-0.06567294	-0.1323913	-0.003739124
