FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
cUID_unk_4167_marmot4167_sorted	cUID_unk_4167_marmot4167_sorted	0.01150757	0.07689134	0.2675846	0.0136392	0.02799714	-0.08721872	0.4896189	0.03340127	0.1200067	-0.1729938
RMBL_marmot_05-06_sorted	RMBL_marmot_05-06_sorted	-0.4069512	-0.05428739	-0.2168585	-0.0718558	0.04365499	-0.109374	0.009438573	-0.007232594	-0.03899301	0.04766711
RMBL_marmot_no_label_MS125_May2024_sorted	RMBL_marmot_no_label_MS125_May2024_sorted	-0.3944029	-0.05126081	-0.2129819	-0.06994318	0.04186839	-0.10593	0.00875683	-0.008948347	-0.03803258	0.0463881
UID_10009_10025_sorted	UID_10009_10025_sorted	0.3132061	-0.5114506	-0.1044591	0.2859474	-0.02006667	0.01435584	0.0580382	0.0333619	-0.02866829	0.08138137
UID_10010_10019_sorted	UID_10010_10019_sorted	-0.2429025	0.01048176	-0.004381851	-0.02032376	0.09057784	-0.131303	-0.02785231	-0.08782661	-0.1276233	-0.0285659
UID_10041_9876_sorted	UID_10041_9876_sorted	-0.2780981	0.02415853	0.0707614	0.05613032	-0.2222008	0.397196	-0.04238935	0.06298377	0.04109383	-0.006331863
UID_10048_10061_sorted	UID_10048_10061_sorted	-0.2897322	-0.007946037	0.08406146	0.0691681	-0.03556222	0.1120699	-0.01734518	-0.1159256	-0.02475257	0.0001906186
UID_10052_10034_sorted	UID_10052_10034_sorted	-0.2565216	0.002016539	0.0516454	0.02649129	-0.04820096	0.1047431	0.02377941	-0.1033136	-0.001704955	-0.02796459
UID_10054_10194_sorted	UID_10054_10194_sorted	0.3091036	-0.4649173	-0.08875444	0.2294549	-0.01872838	0.02041406	0.04641107	0.03743378	-0.03382696	0.06537067
UID_10056_10055_sorted	UID_10056_10055_sorted	-0.3180065	-0.05240498	-0.2142522	-0.07332575	0.00854835	-0.07420467	0.0004855828	0.03996073	-0.02113063	-0.07326247
UID_10067_10185_sorted	UID_10067_10185_sorted	0.1973897	0.1748024	0.1899467	-0.152718	-0.4779118	-0.274327	-0.09057869	0.0476095	-0.1242961	-0.001195171
UID_10070_10071_sorted	UID_10070_10071_sorted	-0.3922377	-0.06678527	-0.2493315	-0.1044379	0.02359834	-0.11109	0.02163486	0.06553653	0.02211638	-0.0003843931
UID_10073_10028_sorted	UID_10073_10028_sorted	0.261468	0.0387713	0.06822279	-0.4455482	0.157157	0.1418162	-0.01463301	-0.05498343	0.09268583	0.2258758
UID_10083_10001_sorted	UID_10083_10001_sorted	-0.04240102	0.08405902	0.4496254	0.2011519	0.2806744	-0.07072917	-0.3514095	0.1194017	0.1225827	-0.002937844
UID_10089_10098_sorted	UID_10089_10098_sorted	0.2776422	-0.04433304	0.07162853	-0.1022272	-0.4543772	-0.2844993	-0.1724563	-0.07625166	-0.107034	0.03319401
UID_10095_10094_sorted	UID_10095_10094_sorted	0.2309447	-0.2164922	-0.121932	0.118465	0.02490317	0.02128798	0.03047165	0.006137094	-0.002475118	0.04938932
UID_10100_10005_sorted	UID_10100_10005_sorted	0.2794176	0.4475016	-0.2796122	0.1525339	0.03175092	0.04185721	-0.01512826	-0.09923619	0.1545046	-0.10521
UID_10106_4466_sorted	UID_10106_4466_sorted	0.2519029	0.360738	-0.2391852	0.1274201	0.03247917	0.03790529	-0.02113338	-0.06634838	0.1201194	-0.1037181
UID_10112_6205_sorted	UID_10112_6205_sorted	-0.3698621	-0.04041461	-0.2479822	-0.1243788	0.007957805	-0.1178718	0.04269691	0.08847168	-0.01319682	-0.112948
UID_10145_10372_sorted	UID_10145_10372_sorted	-0.2454346	0.01430633	0.03890237	0.008177029	-0.04174683	0.02420822	0.07802198	-0.1216438	-0.06078973	-0.04719834
UID_10146_10130_sorted	UID_10146_10130_sorted	0.2785313	0.002558227	0.06777969	-0.4128238	0.1246422	0.1449671	0.007243961	-0.04702991	0.07840139	0.2648665
UID_10147_10132_sorted	UID_10147_10132_sorted	0.301432	-0.496337	-0.1198574	0.2137494	-0.00256385	0.01646292	0.0344492	0.03418252	-0.01432216	0.02417918
UID_10148_9348_sorted	UID_10148_9348_sorted	-0.2533197	-0.0004175124	0.04624375	0.04951556	-0.212476	0.3452491	-0.04504549	0.06727067	0.02450408	-0.02189173
UID_10150_9248_sorted	UID_10150_9248_sorted	0.1874615	0.1511613	0.2142474	-0.1420119	-0.3507165	-0.2303134	0.01056905	0.1901427	-0.1656028	-0.005101485
UID_10155_10111_sorted	UID_10155_10111_sorted	0.2167063	0.1852229	0.1841554	-0.1585891	-0.5199153	-0.3068034	-0.1188631	0.06555263	-0.1607555	0.0003451866
UID_10159_10161_sorted	UID_10159_10161_sorted	0.3150734	-0.4299172	-0.08530667	-0.03050467	0.0727316	0.06995514	-0.04000999	0.0002157791	0.00934054	-0.1077984
UID_10165_10102_sorted	UID_10165_10102_sorted	0.2423193	0.0310358	0.03788954	-0.3381183	0.1179715	0.1289693	-0.01269715	-0.05781071	0.08643295	0.1855467
UID_10172_10167_sorted	UID_10172_10167_sorted	0.3219675	-0.3918541	-0.1031863	-0.03181942	0.09479745	0.1102698	-0.0150047	0.0005829427	-0.04098689	-0.05968596
UID_10175_10121_sorted	UID_10175_10121_sorted	0.2810434	-0.4562741	-0.1086653	0.2302998	0.02038675	0.01206061	0.03052189	0.04428456	-0.01286236	0.01753861
UID_10176_10035_sorted	UID_10176_10035_sorted	-0.2473981	-0.002781411	0.05869983	0.04243523	-0.1983462	0.3554803	-0.07946025	0.08161582	0.04298745	0.007161659
UID_10181_10436_sorted	UID_10181_10436_sorted	-0.2645815	0.01445173	0.06261694	0.05074646	-0.2493339	0.4033687	-0.05779153	0.1007792	0.05886268	-0.007049856
UID_10187_9267_sorted	UID_10187_9267_sorted	-0.1103572	-0.1000323	0.01351829	0.07699827	-0.01240343	0.05200057	0.02990467	-0.06528072	-0.01664784	-0.01059112
UID_10189_10179_sorted	UID_10189_10179_sorted	-0.2470532	-0.01383055	0.1178124	0.08868664	0.1404391	-0.0567728	-0.1359949	-0.2088526	-0.1026965	0.002555839
UID_10200_10928_sorted	UID_10200_10928_sorted	0.2946898	0.4855716	-0.2928387	0.1619008	0.009680414	0.03442986	-0.02366799	-0.1022227	0.1704824	-0.06848479
UID_10212_10207_sorted	UID_10212_10207_sorted	-0.2378818	0.005354241	0.09250383	0.06540829	-0.01250829	0.0459024	0.02251526	-0.1790612	-0.03427051	0.02563633
UID_10215_9310_sorted	UID_10215_9310_sorted	0.1074	-0.2908803	-0.04616636	0.1452587	0.01754872	-0.006633953	-0.003121938	-0.02361446	-0.02559364	-0.003037623
UID_10218_10220_sorted	UID_10218_10220_sorted	0.2750506	0.4326212	-0.2747697	0.1415359	-0.01006326	0.01650573	-0.0358469	-0.116637	0.1136938	-0.09389584
UID_10221_10219_sorted	UID_10221_10219_sorted	-0.2895481	-0.007243384	0.1046612	0.06399252	-0.0398184	0.1117707	0.02858775	-0.1444839	-0.01898949	-0.02258468
