FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
cUID_unk_4167_marmot4167_sorted	cUID_unk_4167_marmot4167_sorted	0.052968	-0.01560242	0.2413011	-0.2095349	-0.240611	-0.05062265	0.5631605	-0.06897587	-0.01748613	-0.06151934
RMBL_marmot_05-06_sorted	RMBL_marmot_05-06_sorted	-0.4057706	-0.03151711	-0.2578416	-0.01096613	0.03771721	-0.03391637	0.04266771	0.1975733	0.3186294	0.1090544
RMBL_marmot_no_label_MS125_May2024_sorted	RMBL_marmot_no_label_MS125_May2024_sorted	-0.4057456	-0.0319706	-0.2576208	-0.01120227	0.03718866	-0.03380451	0.04247565	0.197495	0.3184601	0.1091801
UID_10009_10025_sorted	UID_10009_10025_sorted	0.5327075	-0.4021843	-0.04493278	0.1854519	0.04770929	-0.1593488	-0.04501082	-0.03625014	-0.1596775	-0.05310652
UID_10010_10019_sorted	UID_10010_10019_sorted	-0.4481695	-0.09183678	-0.1593129	-0.0170207	-0.05775455	-0.01570295	-0.1008134	-0.3234822	0.05220112	-0.2335385
UID_10021_10134_sorted	UID_10021_10134_sorted	-0.02778583	0.08448258	-0.1148571	0.04680079	-0.07187059	-0.02245725	0.04913824	-0.06890527	0.03749655	-0.03808048
UID_10041_9876_sorted	UID_10041_9876_sorted	-0.2476999	-0.04081937	0.1096372	-0.1015214	-0.06929682	-0.2956288	-0.04988616	-0.06900166	0.05193478	0.250593
UID_10048_10061_sorted	UID_10048_10061_sorted	-0.3484416	-0.1607802	0.0003665448	-0.02392069	-0.1158446	-0.09724657	-0.1896389	-0.1064094	-0.3180536	-0.02159731
UID_10052_10034_sorted	UID_10052_10034_sorted	-0.3262124	-0.04623373	0.07732179	-0.08982077	-0.04446188	0.01545501	-0.1953212	-0.2010585	-0.2299363	-0.06494036
UID_10054_10194_sorted	UID_10054_10194_sorted	0.5396902	-0.3149182	0.08600071	0.2664339	0.03702038	-0.08094698	0.02817413	-0.001360041	-0.1003147	-0.1616472
UID_10056_10055_sorted	UID_10056_10055_sorted	-0.3049739	-0.1316771	-0.2987476	0.148909	0.1781111	-0.06335282	-0.1045516	0.2587828	0.07586363	-0.1868228
UID_10067_10185_sorted	UID_10067_10185_sorted	-0.03040479	0.1745152	-0.047078	0.02409071	0.4312615	-0.2361185	-0.01700059	-0.2594439	0.04033227	0.1488194
UID_10070_10071_sorted	UID_10070_10071_sorted	-0.4333365	-0.09644064	-0.3870337	-0.09496507	0.02185331	0.2117801	-0.03484374	0.009823874	-0.1777467	0.04316373
UID_10073_10028_sorted	UID_10073_10028_sorted	0.3770637	0.132573	-0.08300919	-0.2605908	0.1638462	-0.1626358	0.00121172	0.05400702	-0.02460154	-0.1004122
UID_10083_10001_sorted	UID_10083_10001_sorted	-0.2499148	0.01591971	0.4718068	-0.08009295	0.02925847	0.4099245	-0.2995034	-0.03603606	0.0621756	0.1517349
UID_10089_10098_sorted	UID_10089_10098_sorted	0.3172127	0.004919547	-0.03038366	0.02728807	0.5002825	-0.1149758	-0.1072621	0.02076016	0.08158353	-0.01918866
UID_10095_10094_sorted	UID_10095_10094_sorted	0.4211775	-0.142982	-0.1293586	0.137927	0.04358477	0.06741525	-0.05330881	-0.02855622	-0.1162587	-0.01778841
UID_10100_10005_sorted	UID_10100_10005_sorted	0.100876	0.4591139	-0.09028967	0.2033925	-0.1962069	0.02610375	-0.06712272	-0.1289769	-0.0113255	0.01094227
UID_10106_4466_sorted	UID_10106_4466_sorted	0.1805193	0.4361033	-0.03405051	0.1972611	-0.02692102	-0.001391705	-0.03092882	-0.1147	-0.003749926	0.01276704
UID_10112_6205_sorted	UID_10112_6205_sorted	-0.2896754	0.01977242	-0.3156646	-0.03296024	0.1920427	0.1908418	-0.01501669	0.4732172	-0.03209761	0.1231267
UID_10145_10372_sorted	UID_10145_10372_sorted	-0.309103	-0.2060047	0.03389441	-0.06540156	-0.09789217	-0.3048922	-0.1974655	-0.07078588	0.1623549	-0.1408253
UID_10146_10130_sorted	UID_10146_10130_sorted	0.3249208	0.1140516	-0.04555448	-0.215381	0.1037834	-0.06185334	0.08343257	0.1353566	0.002201741	-0.06615404
UID_10147_10132_sorted	UID_10147_10132_sorted	0.6061595	-0.4350007	-0.01483457	0.1730402	0.08950081	-0.0491163	-0.1043985	-0.01155278	-0.03631718	-0.1052615
UID_10148_9348_sorted	UID_10148_9348_sorted	-0.2063938	-0.07972261	0.07731115	-0.02555248	-0.03996199	-0.1013924	-0.0008722824	0.04108641	-0.02147972	0.3341174
UID_10150_9248_sorted	UID_10150_9248_sorted	-0.002629067	0.1959445	0.2241239	-0.05071887	0.5006136	-0.1577035	-0.01817696	-0.2321171	-0.02236537	0.1437742
UID_10155_10111_sorted	UID_10155_10111_sorted	0.07858768	0.2156984	0.08691984	0.1058492	0.4572498	-0.2265776	-0.0493676	-0.1184437	0.04585647	0.06001737
UID_10159_10161_sorted	UID_10159_10161_sorted	0.6651434	-0.3583337	-0.187491	-0.07663627	-0.2575214	0.1195461	0.04342642	-0.0348497	0.116458	0.02319114
UID_10165_10102_sorted	UID_10165_10102_sorted	0.2666479	0.2417457	-0.1503877	-0.3429544	-0.007311378	-0.1262338	0.006525269	0.08819613	-0.03819043	0.1175639
UID_10166_10168_sorted	UID_10166_10168_sorted	0.288093	-0.2237486	-0.01159289	0.2045967	0.01635137	-0.04131095	-0.09414324	0.06602898	-0.09384121	0.05189789
UID_10172_10167_sorted	UID_10172_10167_sorted	0.5683183	-0.3183067	-0.1709233	-0.09944726	-0.214491	-0.02748116	-0.1373081	0.04741249	0.125943	0.01261544
UID_10175_10121_sorted	UID_10175_10121_sorted	0.7426866	-0.3608409	-0.005687847	0.2200666	-0.03725276	0.1242481	0.06223163	-0.05469578	0.004593175	0.1157004
UID_10176_10035_sorted	UID_10176_10035_sorted	-0.3895539	-0.216427	0.1130653	-0.006336066	0.05901027	-0.1645494	0.0008001133	0.1719512	-0.1802682	-0.04505248
UID_10181_10436_sorted	UID_10181_10436_sorted	-0.3642664	-0.009660243	0.1862421	0.06503856	-0.05281184	-0.2225807	0.1363515	0.1203456	-0.2945306	0.06717375
UID_10187_9267_sorted	UID_10187_9267_sorted	-0.02723501	-0.1264583	-0.06017937	0.05033448	0.01198117	-0.04554213	-0.2038093	-0.06961179	-0.2006304	-0.1440647
UID_10189_10179_sorted	UID_10189_10179_sorted	-0.2372418	-0.230624	0.1591672	0.3567673	0.0575841	-0.08171604	0.09382807	0.1450609	0.0668567	-0.1526623
UID_10200_10928_sorted	UID_10200_10928_sorted	0.159465	0.6164953	-0.09107403	0.231346	-0.05056416	0.1260606	-0.02830069	-0.05783986	0.03454954	-0.003356597
UID_10212_10207_sorted	UID_10212_10207_sorted	-0.1963738	0.03212078	0.1179158	0.006687569	-0.08644732	-0.06571626	-0.3202112	-0.1738888	-0.04559369	0.03074128
UID_10215_9310_sorted	UID_10215_9310_sorted	0.2670209	-0.2099233	0.05578608	0.1405369	-0.004662457	0.08800321	-0.03299093	0.03483462	0.03537587	-0.08071223
UID_10218_10220_sorted	UID_10218_10220_sorted	0.1366461	0.5297607	-0.1502044	0.1332385	-0.09996401	0.0472253	-0.02419238	-0.08462757	0.05233963	-0.01282282
UID_10221_10219_sorted	UID_10221_10219_sorted	-0.3253505	-0.1535564	0.0319404	0.08467563	-0.1275078	-0.1425355	-0.1628697	-0.1716533	-0.1400957	-0.03452483
UID_10222_10214_sorted	UID_10222_10214_sorted	-0.1140244	0.2199138	-0.07057582	0.1513864	0.16052	0.1465978	-0.0220652	0.2799424	-0.1029258	-0.0433957
