FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
cUID_unk_4167_marmot4167_sorted	cUID_unk_4167_marmot4167_sorted	0.006413212	0.070961	0.2763444	0.05347789	-0.01863678	0.08871527	-0.4928488	-0.005771681	-0.06266844	0.2131757
RMBL_marmot_05-06_sorted	RMBL_marmot_05-06_sorted	-0.4084215	-0.01232682	-0.2046916	-0.07905415	0.01107247	0.139775	-0.0003092399	-0.0003847503	0.03623748	-0.03478212
RMBL_marmot_no_label_MS125_May2024_sorted	RMBL_marmot_no_label_MS125_May2024_sorted	-0.3974306	-0.01213755	-0.2010765	-0.0776063	0.01118945	0.1367347	-0.0007659192	-0.002516976	0.03461448	-0.03552959
UID_10009_10025_sorted	UID_10009_10025_sorted	0.2529477	-0.5026919	-0.1132368	0.2673186	0.01178623	-0.02430344	-0.0450117	0.02963052	0.02124794	-0.06969391
UID_10010_10019_sorted	UID_10010_10019_sorted	-0.2456039	0.02731789	0.003829949	-0.016709	-0.03606647	0.1583908	0.02737561	-0.08396535	0.1020344	0.005792079
UID_10021_10134_sorted	UID_10021_10134_sorted	-0.01520151	0.1458297	-0.2146892	0.0247952	-0.0124523	0.02955637	-0.003254391	-0.04043234	-0.05007098	0.04674608
UID_10041_9876_sorted	UID_10041_9876_sorted	-0.2881124	0.04641942	0.0552752	0.01152347	0.05368336	-0.4495789	0.02901216	0.05435209	-0.03588411	0.01968239
UID_10048_10061_sorted	UID_10048_10061_sorted	-0.2888164	0.02135525	0.06032791	0.05996215	-0.01463001	-0.1000374	0.02630389	-0.1167302	0.03501698	-0.01149255
UID_10052_10034_sorted	UID_10052_10034_sorted	-0.2465517	0.016827	0.0362898	0.02590213	-0.004157001	-0.09561623	-0.01151133	-0.09081344	0.01429776	0.01968196
UID_10054_10194_sorted	UID_10054_10194_sorted	0.2604309	-0.4746948	-0.1053951	0.2463129	0.01089789	-0.03527098	-0.04178762	0.05185881	0.02805587	-0.05204344
UID_10056_10055_sorted	UID_10056_10055_sorted	-0.3127188	-0.03064495	-0.1985355	-0.07611484	0.03149069	0.09186107	-0.004416047	0.04017862	0.03277588	0.07313696
UID_10067_10185_sorted	UID_10067_10185_sorted	0.2240901	0.1710557	0.2238712	-0.1329339	0.560609	0.07954037	0.08807654	0.05481589	0.1301636	-0.003407369
UID_10070_10071_sorted	UID_10070_10071_sorted	-0.390151	-0.02714712	-0.2300156	-0.1059831	0.03273553	0.1359378	-0.02221253	0.0729214	-0.01727455	0.01797664
UID_10073_10028_sorted	UID_10073_10028_sorted	0.2726534	0.01153684	0.08686877	-0.4595477	-0.2009765	-0.04335058	0.01346133	-0.02290158	-0.1531084	-0.2331487
UID_10083_10001_sorted	UID_10083_10001_sorted	-0.03729132	0.1001374	0.4456972	0.2307328	-0.2461442	0.1269966	0.3561846	0.1281487	-0.1294933	0.0330016
UID_10089_10098_sorted	UID_10089_10098_sorted	0.2870078	-0.06715837	0.1020436	-0.0787355	0.5325884	0.08528223	0.1627927	-0.06470272	0.08812247	-0.04596191
UID_10095_10094_sorted	UID_10095_10094_sorted	0.2095313	-0.2356591	-0.1353349	0.1284071	-0.01732327	-0.01099958	-0.02727753	-0.007599001	-0.01380886	-0.01931122
UID_10100_10005_sorted	UID_10100_10005_sorted	0.3359547	0.4395543	-0.2928042	0.1205359	-0.03573462	-0.03595861	0.01275625	-0.1178042	-0.1267152	0.135558
UID_10106_4466_sorted	UID_10106_4466_sorted	0.2754686	0.3374769	-0.2403919	0.1067051	-0.03136201	-0.02465555	0.02667504	-0.09018539	-0.08134619	0.1295949
UID_10112_6205_sorted	UID_10112_6205_sorted	-0.3742154	-0.01255445	-0.2281958	-0.1277517	0.03768826	0.136586	-0.05047229	0.08396799	0.02033362	0.1088268
UID_10145_10372_sorted	UID_10145_10372_sorted	-0.2396789	0.03303512	0.03082473	0.005714427	0.009417267	-0.01365843	-0.07298332	-0.1128444	0.05920288	0.03064935
UID_10146_10130_sorted	UID_10146_10130_sorted	0.2777733	-0.03604727	0.08985426	-0.4401444	-0.1946425	-0.05020705	-0.00918798	-0.006058627	-0.1431526	-0.2703722
UID_10147_10132_sorted	UID_10147_10132_sorted	0.2432782	-0.5054582	-0.128074	0.2252954	0.01231332	-0.02744582	-0.02865873	0.02797075	0.008151305	-0.01984355
UID_10148_9348_sorted	UID_10148_9348_sorted	-0.2715129	0.01597286	0.01292488	0.005990057	0.06804642	-0.3963295	0.03861101	0.05674306	-0.02297786	0.02159239
UID_10150_9248_sorted	UID_10150_9248_sorted	0.1896056	0.1372953	0.2609317	-0.125122	0.431808	0.07809422	-0.008518545	0.1884087	0.1723589	-0.004817764
UID_10155_10111_sorted	UID_10155_10111_sorted	0.2405758	0.1788376	0.2134552	-0.1287718	0.5953495	0.09382171	0.1128243	0.05815264	0.1374597	-0.01260045
UID_10159_10161_sorted	UID_10159_10161_sorted	0.2580958	-0.4365791	-0.08461343	-0.01691024	-0.07684933	-0.03463774	0.0290789	0.002551267	0.01234615	0.07746894
UID_10165_10102_sorted	UID_10165_10102_sorted	0.2576547	-0.001075359	0.04740619	-0.3732384	-0.1685363	-0.04792355	0.00501476	-0.02693219	-0.1347138	-0.1859136
UID_10166_10168_sorted	UID_10166_10168_sorted	0.1240725	-0.2521404	-0.0781524	0.1137122	-0.001486895	-0.0128301	-0.0200769	0.03805628	0.01903435	-0.02471087
UID_10172_10167_sorted	UID_10172_10167_sorted	0.2688987	-0.4025874	-0.09528002	-0.03474312	-0.115507	-0.0578175	0.01843045	-0.0111314	0.04471251	0.05736961
UID_10175_10121_sorted	UID_10175_10121_sorted	0.2320772	-0.4707482	-0.1275684	0.232437	-0.008864311	-0.0157294	-0.02640937	0.03803554	0.005189295	-0.002555763
UID_10176_10035_sorted	UID_10176_10035_sorted	-0.2599165	0.03026282	0.04108727	0.009549394	0.04779783	-0.4216462	0.05826207	0.07156038	-0.04541173	-0.01207971
UID_10181_10436_sorted	UID_10181_10436_sorted	-0.2774357	0.03446333	0.04721789	0.01388906	0.07969087	-0.4921555	0.03524832	0.09411301	-0.0586072	0.008932825
UID_10187_9267_sorted	UID_10187_9267_sorted	-0.1274078	-0.08803716	-0.004881854	0.0663394	-0.009240444	-0.04634501	-0.02000999	-0.06588491	0.0177776	0.01314447
UID_10189_10179_sorted	UID_10189_10179_sorted	-0.2458552	0.004193337	0.1048567	0.09337264	-0.08689583	0.08659	0.1490671	-0.2160868	0.08883056	-0.04036605
UID_10200_10928_sorted	UID_10200_10928_sorted	0.3393088	0.4604664	-0.2933082	0.1280522	-0.01203622	-0.02872934	0.01220859	-0.1133619	-0.1515636	0.1017416
UID_10212_10207_sorted	UID_10212_10207_sorted	-0.2404341	0.02465283	0.07417055	0.05525171	-0.02025797	-0.02211712	-0.01191023	-0.1622379	0.04350163	-0.03181029
UID_10215_9310_sorted	UID_10215_9310_sorted	0.07599823	-0.3004663	-0.06396943	0.1507556	-0.01745165	0.004602254	0.01389798	-0.02860868	0.02144469	0.001214913
UID_10218_10220_sorted	UID_10218_10220_sorted	0.3170321	0.4147118	-0.2842518	0.1177184	0.01254111	-0.01862705	0.02906833	-0.1369174	-0.1039354	0.1176922
UID_10221_10219_sorted	UID_10221_10219_sorted	-0.2843029	0.02105673	0.07909916	0.05387526	-0.01613382	-0.09553969	-0.0102953	-0.1393229	0.03141157	0.009869004
UID_10222_10214_sorted	UID_10222_10214_sorted	-0.1094509	-0.041072	-0.1175226	-0.09804476	0.01469461	0.1004394	-0.01051899	0.1025541	-0.01717203	0.2635351
UID_10225_10242_sorted	UID_10225_10242_sorted	-0.1858773	0.03810288	0.03374077	-0.0189101	-0.02304298	0.1223964	-0.005829428	-0.114557	0.08370135	-0.003165492
UID_10235_10085_sorted	UID_10235_10085_sorted	0.2741605	0.195162	-0.2527383	0.1399482	-0.03205005	-0.01847642	0.008133758	-0.08711501	-0.08734954	0.0949213
UID_10243_10245_sorted	UID_10243_10245_sorted	-0.2118	0.02590402	0.03641682	0.008743482	0.001388117	0.03740494	-0.05300813	-0.1141653	0.06024827	0.0007462163
UID_10248_10247_sorted	UID_10248_10247_sorted	0.02263935	0.1071572	0.4753807	0.2146168	-0.2573646	0.2078663	0.4172073	0.3200162	-0.174003	0.1546858
UID_10249_10250_sorted	UID_10249_10250_sorted	0.2371586	0.03754229	-0.002439018	-0.01767961	0.3382241	0.0435708	0.09081943	-0.04952812	0.04311066	-0.005057765
UID_10252_10295_sorted	UID_10252_10295_sorted	-0.2619989	-0.004870761	0.07019779	0.07593077	-0.06168574	0.06983471	0.1430717	-0.1772007	0.07482265	-0.03327756
UID_10254_10256_sorted	UID_10254_10256_sorted	0.319928	-0.02331952	0.01635142	-0.4509694	-0.09861414	-0.04745394	0.09542241	-0.2130329	-0.1191956	0.09555562
UID_10260_10255_sorted	UID_10260_10255_sorted	0.162052	-0.05738089	-0.01446952	-0.1926108	-0.03532695	-0.02559266	0.04947924	-0.1219569	-0.08358483	0.05386319
UID_10261_10262_sorted	UID_10261_10262_sorted	0.2841438	-0.01527948	-0.01955162	-0.3761514	-0.1058734	-0.04189425	0.08728667	-0.1784383	-0.1025921	0.06913661
UID_10266_10265_sorted	UID_10266_10265_sorted	0.3326587	0.4277508	-0.2456214	0.08674378	-0.04672045	-0.03840185	0.009800906	-0.01762989	0.07381057	0.008595439
UID_10276_10092_sorted	UID_10276_10092_sorted	-0.1896296	0.01992142	0.03481142	0.009005723	-0.03933905	0.1128605	0.00251456	-0.09708469	0.07914892	-0.01662574
UID_10279_10282_sorted	UID_10279_10282_sorted	0.2958447	-0.04960301	0.0760571	-0.04712217	0.5401426	0.08634063	0.149162	-0.04556296	0.09392669	-0.02400872
UID_10287_10267_sorted	UID_10287_10267_sorted	0.2350087	-0.4851923	-0.1364354	0.2233296	-0.01177285	-0.02219534	-0.01538686	0.0009270702	-0.006255041	-0.003720619
UID_10292_10398_sorted	UID_10292_10398_sorted	0.2501522	-0.5368553	-0.1459147	0.2791809	0.04267976	-0.004505631	-0.00733076	0.01719081	-0.03131784	-0.002767823
UID_10293_10289_sorted	UID_10293_10289_sorted	0.04284455	0.04455579	0.317062	0.1797884	-0.2090484	0.1800019	0.30757	0.2917707	-0.1420177	0.146021
UID_10300_10286_sorted	UID_10300_10286_sorted	0.03288774	-0.1128511	-0.03883868	0.05553573	0.003580747	-0.003825987	-0.005628495	-0.006481572	0.001970099	0.0007906533
UID_10304_10333_sorted	UID_10304_10333_sorted	-0.1299592	0.06262341	-0.1129375	-0.1048423	0.04104424	0.1372473	-0.08055901	0.1936674	-0.287716	-0.4451684
UID_10318_9454_sorted	UID_10318_9454_sorted	-0.1592216	0.0323603	0.07734455	0.05476009	-0.08798724	0.1297018	0.1563232	0.1099948	-0.06067011	0.06345278
UID_10327_10348_sorted	UID_10327_10348_sorted	-0.1785405	0.00675076	0.0008739376	0.01109306	0.04252168	-0.2346163	0.01970767	0.03755691	-0.02451874	0.01261938
UID_10332_10412_sorted	UID_10332_10412_sorted	-0.1983611	0.03901711	0.1208504	0.07059526	-0.1220476	0.1988073	0.2374846	0.171745	-0.06790111	0.1164639
UID_10337_10361_sorted	UID_10337_10361_sorted	0.3053407	0.3959981	-0.306263	0.0893563	0.003682358	-0.02692111	0.05159143	-0.1452141	-0.2593721	0.01898657
UID_10339_10402_sorted	UID_10339_10402_sorted	-0.1243379	0.05788226	-0.1004039	-0.100984	0.03608488	0.136154	-0.1056984	0.2020724	-0.3030944	-0.4136645
UID_10341_10403_sorted	UID_10341_10403_sorted	-0.2080346	0.04895758	0.1318632	0.07410093	-0.1350097	0.1973551	0.2297707	0.194726	-0.09077183	0.1098051
UID_10343_10345_sorted	UID_10343_10345_sorted	-0.2923894	0.02885085	0.008992179	-0.008341216	0.08511265	-0.4938212	0.03404414	0.1352323	-0.05337636	0.02968273
UID_10354_10305_sorted	UID_10354_10305_sorted	-0.1251122	0.04652294	-0.09331634	-0.1003395	0.05025556	0.1492573	-0.1141608	0.2301878	-0.3165388	-0.4468818
UID_10357_10359_sorted	UID_10357_10359_sorted	-0.2135349	0.02184822	0.007193175	-0.01417417	0.007784852	0.02303622	-0.04539208	-0.09003648	0.05632685	0.01958872
UID_10363_10311_sorted	UID_10363_10311_sorted	0.2949629	0.379468	-0.3042329	0.1006632	-0.001913367	-0.0186917	0.05098833	-0.1689093	-0.3002204	0.05859327
UID_10369_10008_sorted	UID_10369_10008_sorted	0.2579059	-0.5276877	-0.1419146	0.2490761	0.062786	-0.005400875	-0.001138713	-0.002374486	-0.05128976	-0.03156533
UID_10371_10389_sorted	UID_10371_10389_sorted	0.244527	-0.5308943	-0.1411487	0.2406542	0.01359806	-0.00550434	-0.0124628	0.01499036	-0.04847437	0.0163439
UID_10382_10273_sorted	UID_10382_10273_sorted	-0.2944418	0.03946434	0.01431051	-0.01866898	0.07169112	-0.4428367	0.02761447	0.125008	-0.0553101	0.01805367
UID_10386_10383_sorted	UID_10386_10383_sorted	-0.4136684	-0.03038993	-0.2273263	-0.0911521	0.02986295	0.127142	-0.05455722	0.06172537	-0.0003767026	0.02689626
UID_10388_10375_sorted	UID_10388_10375_sorted	0.2439899	-0.5379867	-0.1493509	0.2701338	0.04002081	-0.006393059	-0.02292441	0.001587125	-0.03735815	-0.01172206
UID_10407_10302_sorted	UID_10407_10302_sorted	-0.1978288	0.01025747	0.006621952	0.006941286	0.04464851	-0.2763263	0.01359206	0.07162801	-0.04077343	0.001847519
UID_10409_10353_sorted	UID_10409_10353_sorted	0.3574437	0.4370779	-0.3331632	0.08171358	-0.003146807	-0.02072629	0.05583631	-0.1294874	-0.2567493	-0.006878475
UID_10416_10422_sorted	UID_10416_10422_sorted	-0.2684713	0.006857328	0.007752197	0.01300291	0.05891882	-0.3727598	0.04048636	0.04915958	-0.02431307	0.0140669
UID_10418_10051_sorted	UID_10418_10051_sorted	-0.2952297	0.02659534	0.04796641	0.009483744	0.05952643	-0.4663316	0.06821629	0.06931436	-0.03246394	-0.02520615
UID_10421_4461_sorted	UID_10421_4461_sorted	-0.2961909	0.02602904	0.05716209	0.01416404	0.05055086	-0.4320545	0.05356945	0.03844606	-0.02946332	0.008454931
UID_10437_10428_sorted	UID_10437_10428_sorted	-0.1198465	0.06417577	-0.07588846	-0.07402718	0.03045989	0.1314821	-0.1063381	0.1700455	-0.3105065	-0.4135538
UID_19_46_sorted	UID_19_46_sorted	-0.01312022	0.08722245	0.2826386	0.03341031	-0.01241718	0.1314539	-0.5445395	0.06110946	-0.05291534	0.1570679
UID_2686_2690_sorted	UID_2686_2690_sorted	-0.003832272	0.04818864	0.2534382	0.1147134	-0.07600766	0.01171636	-0.1013192	-0.02625021	-0.0481883	0.09918107
UID_2793_2821_sorted	UID_2793_2821_sorted	0.07545105	0.09186356	0.3736839	0.08918772	-0.02493644	0.009200214	-0.3710761	0.0004598283	-0.0852037	0.1451886
UID_2805_2809_sorted	UID_2805_2809_sorted	0.07094378	0.08720821	0.3956136	0.1001735	-0.04451721	0.0009034567	-0.4002689	-0.01333993	-0.07281788	0.1606975
UID_2822_2876_sorted	UID_2822_2876_sorted	0.05809184	0.1030331	0.35904	0.06023907	0.01001687	0.04100936	-0.5208491	-0.05715866	-0.06127766	0.1684956
