uid,sex,yrborn,col_area,dam,sire,cuid,fur_mark,age,year
10009_10025,F,2025,bench,,,10009_10025,clover,P,2025
10010_10019,F,2025,northpk,,,10834_10842,pawn,P,2025
10021_10134,F,2025,bench,,,10021_10134,coffee_bean,P,2025
10041_9876,M,2025,picnic_lower,,,10041_9876,comet,P,2025
10048_10061,M,2025,northpk,,,10048_10061,thumb_tack,P,2025
10052_10034,F,2024,northpk,,,10052_10034,feddy_wap,P,2024
10054_10194,F,2025,horsemound,,,10054_10194,umbrella,P,2025
10056_10055,M,2023,picnic_lower,,,10056_10000,rainbow,P,2023
10067_10185,M,2025,gothictown,,,10067_10185,cigarette,P,2025
10070_10071,F,2023,picnic_lower,,,10070_10071,pizza,P,2023
10073_10028,F,2025,gothictown,,,10081_10028,M,P,2025
10083_10001,M,N/A,boulder,,,10083_10001,command,A,2024
10089_10098,M,2024,gothictown,,,10089_10098,dragonfly,P,2024
10095_10094,F,2024,mm_maintalus,,,10095_10094,sandwich,Y,2025
10100_10005,F,2024,gothictown,,,10100_10005,hanger,P,2024
10106_4466,F,2025,mm_maintalus,,,10106_4466,butterfly,P,2025
10112_6205,F,2025,river_southmound,,,10112_6205,radiation,P,2025
10145_10372,M,2025,northpk,,,10145_10491,rolly_polly,P,2025
10146_10130,F,2025,gothictown,,,10146_10130,jamba_juice,P,2025
10147_10132,M,2025,bench,,,10230_10132,tooth,P,2025
10148_9348,F,2025,picnic_lower,,,10148_9348,creeper,P,2025
10150_9248,F,2025,gothictown,4463_6212,9725_9056,10150_9248,box_line,P,2025
10155_10111,F,2025,gothictown,,,10155_10111,big_foot,P,2025
10159_10161,M,2025,river_rivermound,,,10159_10161,BMW,P,2025
10165_10102,M,2025,gothictown,,,10165_10102,head_lamp,P,2025
10166_10168,M,2025,horsemound,,,10166_10168,fox,P,2025
10172_10167,M,2025,river_rivermound,,,10172_10167,omega,P,2025
10175_10121,F,2025,bench,,,10175_10121,snake,P,2025
10176_10035,M,2025,picnic_lower,,,10176_10035,bird_tracks,P,2025
10181_10436,M,2025,picnic_lower,,,10181_10436,sagittarius,P,2025
10187_9267,M,2025,northpk,,,10187_10122,chompy,P,2025
10189_10179,M,2024,picnic_lower,,,10189_10179,rodent,P,2024
10200_10928,F,2025,mm_maintalus,,,10200_10928,icicles,P,2025
10212_10207,F,2024,northpk,,,10212_10207,lightning,P,2024
10215_9310,M,2025,bench,,,10215_9310,tokyo_drift,P,2025
10218_10220,M,2024,mm_maintalus,,,10218_10220,tent,Y,2025
10221_10219,F,2024,northpk,,,10221_10219,leave_no_trace,P,2024
10222_10214,M,2024,avalanche,,,10222_10214,sigma,P,2024
10225_10242,M,2025,northpk,,,10225_10101,marshmallow,P,2025
10235_10085,F,2025,river,,,10235_10085,quarter_note,P,2025
10243_10245,M,2025,northpk,,,10243_10245,igloo,P,2025
10248_10247,F,2024,boulder,,,10248_10247,dandelion,Y,2025
10249_10250,M,2024,mm_maintalus,,,10249_10250,hourglass,Y,2025
10252_10295,F,2024,picnic_lower,,,10252_10285,cart,Y,2025
10254_10256,M,2024,gothictown,,,10254_10256,herbie,P,2024
10260_10255,F,2024,gothictown,,,10260_10255,grass,P,2024
10261_10262,M,2024,gothictown,,,10261_10177,fire,P,2024
10266_10265,M,2024,mm_aspen,,,10266_10265,coffee_bean,P,2024
10276_10092,F,2025,northpk,,,10830_10092,snow_cone,P,2025
10279_10282,F,2024,gothictown,,,10279_10282,horseshoe,P,2024
